epoca,erro
0,0.4605386938770243
1,0.3551288099771115
2,0.32616844962310726
3,0.32512718477855207
4,0.33882501933486464
5,0.35963157291001047
6,0.34105428050243536
7,0.3359724382331382
8,0.30736668855475313
9,0.29779318961927503
10,0.2838350335050026
11,0.27772959491356863
12,0.27091463025249196
13,0.2668612260846279
14,0.2625491784347431
15,0.2593137521862312
16,0.2559897637578636
17,0.25328414789291376
18,0.2506396265784346
19,0.24841831077521753
20,0.24631399951529143
21,0.2445025625626323
22,0.2428063713322609
23,0.24131458531610142
24,0.23992147168368858
25,0.23867285274503833
26,0.23750770746127506
27,0.2364436934727049
28,0.23545133710483837
29,0.2345259961125457
30,0.23366269158683994
31,0.23283834631232386
32,0.23206823581629787
33,0.2313146740880429
34,0.2306098624617958
35,0.22990602942405483
36,0.22924796240269146
37,0.22858353954892444
38,0.2279635798800113
39,0.2273381606060576
40,0.22675614245716152
41,0.22617550080139542
42,0.22563624529841117
43,0.22510723358124296
44,0.22461620376492342
45,0.22414262042698876
46,0.2237024738900697
47,0.22328339557424498
48,0.2228926628387623
49,0.22252315559813307
50,0.22217699528335738
51,0.22185003992602315
52,0.2215420160290915
53,0.22125039317132336
54,0.22097411874131262
55,0.22071156609635528
56,0.22046162482774465
57,0.22022321218830612
58,0.21999538105119906
59,0.21977738927883045
60,0.21956846807413438
61,0.2193680880831727
62,0.21917562007104205
63,0.21899066557967004
64,0.21881269805068804
65,0.21864139964668278
66,0.2184763222632507
67,0.21831719942434866
68,0.21816364672422156
69,0.2180154326414018
70,0.21787222664376665
71,0.21773382305006853
72,0.21759993755559892
73,0.21747038512976505
74,0.21734492106775422
75,0.21722337784402274
76,0.21710554441779098
77,0.21699126866803342
78,0.21688036794979973
79,0.2167727039780269
80,0.21666811793139482
81,0.216566484068947
82,0.21646766351390712
83,0.21637154193287014
84,0.21627799716342297
85,0.21618692524473093
86,0.21609821807527077
87,0.21601178111216388
88,0.21592751815368277
89,0.21584534319359983
90,0.21576517017673308
91,0.21568692082339383
92,0.21561051780199703
93,0.2155358898190798
94,0.21546296710692275
95,0.21539168468551334
96,0.2153219793988155
97,0.21525379197159594
98,0.21518706507009122
99,0.2151217445749192
100,0.21505777831277154
101,0.2149951168260425
102,0.2149337125404998
103,0.21487352021604728
104,0.21481449639588257
105,0.2147565996580389
106,0.21469979024555202
107,0.2146440301954703
108,0.21458928308527947
109,0.2145355140879662
110,0.214482689793292
111,0.21443077821933548
112,0.2143797486822926
113,0.2143295717833235
114,0.21428021931021202
115,0.21423166421101217
116,0.2141838805170287
117,0.2141368433101733
118,0.21409052866059045
119,0.21404491359179328
120,0.2139999760286809
121,0.21395569476278214
122,0.21391204940792322
123,0.2138690203668521
124,0.21382658879275768
125,0.21378473655791597
126,0.2137434462198513
127,0.21370270099227354
128,0.21366248471504112
129,0.21362278182744426
130,0.21358357734136577
131,0.21354485681684546
132,0.21350660633798532
133,0.21346881249066985
134,0.21343146234086116
135,0.2133945434143217
136,0.2133580436770133
137,0.2133219515166591
138,0.21328625572500873
139,0.21325094548107834
140,0.21321601033507956
141,0.2131814401931836
142,0.21314722530293934
143,0.21311335623941807
144,0.21307982389196728
145,0.21304661945160439
146,0.21301373439897076
147,0.21298116049285426
148,0.2129488897592236
149,0.2129169144807706
150,0.2128852271869175
151,0.21285382064428088
152,0.21282268784755676
153,0.2127918220108162
154,0.21276121655918367
155,0.2127308651208844
156,0.21270076151963888
157,0.21267089976739043
158,0.21264127405734745
159,0.21261187875732632
160,0.21258270840337976
161,0.21255375769369717
162,0.21252502148276364
163,0.21249649477576593
164,0.21246817272323226
165,0.21244005061589674
166,0.2124121238797758
167,0.21238438807144855
168,0.2123568388735299
169,0.21232947209032899
170,0.21230228364368256
171,0.21227526956895723
172,0.2122484260112112
173,0.21222174922150902
174,0.21219523555338243
175,0.21216888145943016
176,0.21214268348805101
177,0.21211663828030392
178,0.21209074256688937
179,0.21206499316524702
180,0.2120393869767642
181,0.21201392098409044
182,0.21198859224855343
183,0.2119633979076721
184,0.21193833517276237
185,0.21191340132663222
186,0.21188859372136132
187,0.21186390977616248
188,0.21183934697532092
189,0.21181490286620852
190,0.21179057505736948
191,0.2117663612166747
192,0.21174225906954222
193,0.21171826639722036
194,0.21169438103513166
195,0.21167060087127493
196,0.21164692384468275
197,0.21162334794393275
198,0.21159987120571025
199,0.21157649171341977
200,0.21155320759584428
201,0.21153001702585006
202,0.21150691821913478
203,0.21148390943301784
204,0.21146098896527132
205,0.21143815515298925
206,0.21141540637149456
207,0.21139274103328187
208,0.21137015758699468
209,0.2113476545164361
210,0.2113252303396112
211,0.21130288360780022
212,0.21128061290466194
213,0.21125841684536487
214,0.21123629407574626
215,0.21121424327149793
216,0.21119226313737688
217,0.2111703524064414
218,0.21114850983931013
219,0.21112673422344444
220,0.21110502437245285
221,0.2110833791254163
222,0.2110617973462346
223,0.21104027792299201
224,0.21101881976734266
225,0.21099742181391337
226,0.2109760830197256
227,0.2109548023636333
228,0.2109335788457784
229,0.21091241148706158
230,0.21089129932862877
231,0.21087024143137312
232,0.21084923687545049
233,0.21082828475980958
234,0.21080738420173556
235,0.2107865343364063
236,0.21076573431646178
237,0.21074498331158542
238,0.21072428050809713
239,0.21070362510855817
240,0.2106830163313866
241,0.21066245341048379
242,0.2106419355948712
243,0.21062146214833716
244,0.21060103234909316
245,0.2105806454894401
246,0.21056030087544297
247,0.21053999782661476
248,0.2105197356756089
249,0.21049951376791978
250,0.2104793314615916
251,0.21045918812693432
252,0.21043908314624843
253,0.21041901591355533
254,0.21039898583433625
255,0.21037899232527735
256,0.21035903481402152
257,0.21033911273892664
258,0.2103192255488303
259,0.21029937270282056
260,0.21027955367001216
261,0.2102597679293292
262,0.21024001496929284
263,0.2102202942878144
264,0.21020060539199398
265,0.21018094779792396
266,0.2101613210304976
267,0.21014172462322206
268,0.21012215811803645
269,0.2101026210651344
270,0.21008311302279076
271,0.21006363355719265
272,0.21004418224227484
273,0.21002475865955886
274,0.2100053623979964
275,0.2099859930538161
276,0.20996665023037436
277,0.20994733353800968
278,0.20992804259390024
279,0.2099087770219252
280,0.20988953645252917
281,0.20987032052259003
282,0.20985112887528973
283,0.20983196115998787
284,0.20981281703209903
285,0.20979369615297205
286,0.20977459818977295
287,0.2097555228153698
288,0.20973646970822085
289,0.20971743855226505
290,0.2096984290368149
291,0.20967944085645224
292,0.20966047371092544
293,0.2096415273050504
294,0.20962260134861244
295,0.20960369555627098
296,0.20958480964746662
297,0.20956594334632958
298,0.20954709638159108
299,0.20952826848649583
300,0.20950945939871718
301,0.20949066886027357
302,0.20947189661744725
303,0.20945314242070467
304,0.20943440602461832
305,0.20941568718779083
306,0.20939698567278017
307,0.20937830124602683
308,0.20935963367778251
309,0.20934098274204013
310,0.20932234821646573
311,0.20930372988233137
312,0.20928512752444994
313,0.20926654093111097
314,0.20924796989401798
315,0.209229414208227
316,0.2092108736720869
317,0.20919234808718015
318,0.20917383725826533
319,0.20915534099322103
320,0.20913685910299035
321,0.20911839140152694
322,0.2090999377057422
323,0.20908149783545313
324,0.20906307161333193
325,0.20904465886485574
326,0.2090262594182586
327,0.209007873104483
328,0.2089894997571336
329,0.2089711392124313
330,0.20895279130916813
331,0.2089344558886634
332,0.20891613279472077
333,0.2088978218735856
334,0.2088795229739038
335,0.20886123594668116
336,0.20884296064524366
337,0.20882469692519817
338,0.20880644464439463
339,0.20878820366288808
340,0.2087699738429024
341,0.20875175504879384
342,0.20873354714701586
343,0.20871535000608457
344,0.20869716349654455
345,0.2086789874909356
346,0.20866082186376
347,0.20864266649145052
348,0.20862452125233888
349,0.20860638602662498
350,0.20858826069634637
351,0.20857014514534894
352,0.20855203925925747
353,0.20853394292544708
354,0.20851585603301526
355,0.2084977784727542
356,0.2084797101371239
357,0.20846165092022573
358,0.20844360071777587
359,0.20842555942708046
360,0.20840752694701004
361,0.20838950317797506
362,0.20837148802190172
363,0.2083534813822083
364,0.20833548316378167
365,0.20831749327295457
366,0.20829951161748309
367,0.20828153810652456
368,0.208263572650616
369,0.20824561516165274
370,0.20822766555286748
371,0.20820972373880997
372,0.2081917896353265
373,0.2081738631595405
374,0.20815594422983277
375,0.20813803276582252
376,0.20812012868834848
377,0.2081022319194505
378,0.20808434238235163
379,0.20806646000143986
380,0.20804858470225096
381,0.2080307164114512
382,0.20801285505682038
383,0.20799500056723524
384,0.20797715287265317
385,0.2079593119040961
386,0.20794147759363482
387,0.20792364987437328
388,0.20790582868043347
389,0.20788801394694056
390,0.2078702056100078
391,0.20785240360672233
392,0.20783460787513092
393,0.20781681835422577
394,0.2077990349839309
395,0.2077812577050885
396,0.20776348645944562
397,0.20774572118964119
398,0.2077279618391929
399,0.20771020835248485
400,0.20769246067475453
401,0.20767471875208127
402,0.20765698253137357
403,0.2076392519603575
404,0.20762152698756509
405,0.20760380756232247
406,0.2075860936347391
407,0.20756838515569623
408,0.20755068207683597
409,0.20753298435055081
410,0.2075152919299727
411,0.2074976047689628
412,0.2074799228221012
413,0.2074622460446767
414,0.20744457439267686
415,0.20742690782277845
416,0.20740924629233742
417,0.20739158975937988
418,0.20737393818259225
419,0.20735629152131252
420,0.20733864973552074
421,0.20732101278583062
422,0.20730338063348028
423,0.20728575324032397
424,0.20726813056882315
425,0.20725051258203864
426,0.20723289924362184
427,0.20721529051780702
428,0.20719768636940294
429,0.20718008676378533
430,0.20716249166688874
431,0.20714490104519925
432,0.20712731486574676
433,0.20710973309609745
434,0.20709215570434675
435,0.20707458265911188
436,0.20705701392952486
437,0.20703944948522546
438,0.20702188929635446
439,0.20700433333354656
440,0.20698678156792408
441,0.20696923397109007
442,0.20695169051512183
443,0.2069341511725647
444,0.2069166159164255
445,0.20689908472016655
446,0.20688155755769935
447,0.20686403440337864
448,0.2068465152319964
449,0.20682900001877597
450,0.2068114887393664
451,0.2067939813698364
452,0.20677647788666925
453,0.20675897826675663
454,0.2067414824873937
455,0.20672399052627347
456,0.20670650236148136
457,0.20668901797149014
458,0.2066715373351548
459,0.20665406043170736
