w2_0,w2_1,w2_2,w2_3,w2_4,w2_5,w2_6,w2_7,w2_8,w2_9,w2_10,w2_11,w2_12,w2_13,w2_14,w2_15,w2_16,w2_17,w2_18,w2_19,w2_20,w2_21,w2_22,w2_23,w2_24,w2_25
-0.11430468910865524,-0.07655010287918287,0.32946130694867404,0.1364893565748596,-0.16917808804923296,-0.06492700013665853,0.1507452667005128,-0.03822011537515109,-0.02267259459656831,-0.015520658998896283,-0.03844726039356432,-0.15586809762449982,-0.03596331964077666,-0.0018962769627437262,0.16327678467290432,-0.051161571989536976,-0.07045653058384078,-0.04392341215614192,-0.06830704471713993,0.041950326607597926,0.0258848228345735,-0.006361197150111154,0.08770903539444098,0.13615784714843004,0.03455144580320136,-0.09095239805479198
-0.10007546293153377,0.03450955754670349,0.043658224215347576,0.04015579335394411,-0.21374365253960467,-0.306195943528026,0.16947293251925194,0.03284610966665302,0.04674104473130116,0.07884797193009738,-0.02945940230634813,0.25356327069790274,-0.14155391099050774,0.11095450656517994,-0.05592290273293968,0.13262007878783622,-0.16819726923636702,0.05820635902424709,-0.2781823592886371,0.002991549658237648,0.029239881888001223,0.04546429407913585,0.011913514646939261,-0.08050367765419426,0.1905590760255465,0.10877953849794114
0.06175230812080237,0.04856360971724384,-0.017908700578313726,-0.023026236341947445,0.17655547638048769,0.11219437865382334,-0.022660594580862645,0.1544824733913704,-0.0036971611059641836,0.07714803053870237,-0.02504068283234587,-0.0579795889579044,0.013829258753992213,0.09463127055400053,0.03412633174631849,-0.09620847104090431,0.09110041638434245,0.00472401440545419,-0.29893526879306914,0.028677130404007687,0.029793062833639288,0.08685196882179477,-0.0009368263469722696,0.05313157180960798,-0.5261788082543215,-0.05331534096653731
0.2111737602484709,0.05358994533223734,0.08665245716583177,-0.0632348929966857,0.11800555727368235,0.19410235173529947,-0.1900082098725572,0.16015666780074964,0.03448354241843491,-0.2002019570571688,-0.05122970899581367,-0.19115660593751363,0.052200435364627054,0.20838705748720684,0.17154698086383455,0.15713796717301687,0.23461372905091094,0.1768258570063885,0.10833404210381732,0.056609077290614464,0.14864142502855102,-0.13659178287309032,0.1489095004437108,-0.09656206213380943,-0.02653902671977312,0.205678951527206
-0.13707670057410273,-0.1184292582063139,0.15255880481507214,-0.08721327263389417,0.00012431106387072213,0.1563662082666581,-0.09776936158069666,0.10203590402128548,0.1481997973107915,-0.13126986758779252,-0.09091020170269347,-0.057661235389618835,0.1850707501085965,-0.08367160544307206,0.03948796169420203,-0.168428246722274,-0.08781026424746845,-0.012206120107635676,0.022517166514187382,-0.21631781118639185,0.013009347675531514,-0.13061447188916064,0.038627323263851675,-0.10164683650941406,0.10373482595714283,0.055010636467530016
0.006168760067058335,0.04827341346983949,-0.02136119653811237,0.02050334860695376,-0.16911059157507569,0.0007288209578174518,-0.10936668954282276,-0.15656191101749373,-0.07314008600055842,-0.1540264507240828,-0.1427735937148123,0.0031373489843755193,-0.07159842681652738,0.19221049596660933,0.12045297034374185,0.17991668048461062,-0.12124557179603751,0.08604513293902184,-0.016804299616587973,0.1578553911428221,0.0007959848735800272,-0.22272702747291936,0.14758948363030988,-0.023306793982411898,0.058626853177293874,-0.15247179402073993
-0.18137663259752626,-0.0666302750995993,0.1838967616205603,0.10570057041753507,0.02936641377205787,0.06384874517971617,-0.1304504086121816,0.10585053631262874,0.08464519045426395,0.06677374518253933,-0.06476369509905607,-0.037146671858314766,-0.054439414651758965,-0.26096063885361287,0.1374235759192507,-0.05023929505305385,0.073934599897317,0.11245745305365716,-0.060731814170848164,0.033245449998573005,0.09447112801500278,0.025467764917163987,0.1707430751771044,0.14071985697954187,-0.04178117418021828,-0.033094681517771854
0.2368473175360114,-0.047414297265143235,0.08744946299400297,-0.02770118633350166,0.052736662555684974,-0.09485794381498,-0.16340379144648162,0.034837029213227004,0.01623206865816029,-0.030736444962019886,-0.13435484235887418,-0.07612021156281726,0.07596665556142652,0.20409937350246016,0.1507413922376116,-0.03707960261913022,-0.03023771570164354,-0.04174246016942415,-0.05976093084991734,-0.041706535060180086,0.019473025300972995,-0.054806302704723,-0.10490541443594154,-0.16480916213116922,0.14206183523202326,-0.048618828098845726
-0.1925325835658465,0.08850076275251917,0.01720995488975917,0.16449185797652302,0.0945637520252678,0.01941100917308511,-0.08663893792365294,0.048263851637150613,-0.14461356963277636,-0.17508255125183023,-0.12740786975139554,-0.09700499614531324,-0.022836570142501064,0.02170026078878705,0.033276511340285794,0.12604662941890898,-0.16527285940289693,0.028838179876363064,-0.024038862476120488,0.08111127086197738,0.10820067216545226,-0.1303734663429157,0.16491344567364413,0.03573096224648254,0.12626553252950912,0.18546276059277544
0.042695364392846914,0.3385942581909343,0.09999792893134338,0.01947903032963528,0.03194070971655726,-0.06141342867571661,-0.004576234818336608,-0.15990316589961978,0.04117052172450121,0.16022120194941,0.06235872097339998,-0.027447785839723283,-0.007729156779706807,0.08657137993048997,-0.1949993784378015,-0.0664195552130069,0.02820692741716002,-0.22506239223864813,-0.1560845675859202,-0.05484781082131038,-0.021076393142293863,0.1498931620165801,0.04388065163705797,0.03273551659652086,0.08264998413859145,0.03623550073768376
