w1_0,w1_1,w1_2,w1_3,w1_4,w1_5,w1_6,w1_7,w1_8,w1_9,w1_10,w1_11,w1_12,w1_13,w1_14,w1_15,w1_16,w1_17,w1_18,w1_19,w1_20,w1_21,w1_22,w1_23,w1_24,w1_25,w1_26,w1_27,w1_28,w1_29,w1_30,w1_31,w1_32,w1_33,w1_34,w1_35,w1_36,w1_37,w1_38,w1_39,w1_40,w1_41,w1_42,w1_43,w1_44,w1_45,w1_46,w1_47,w1_48,w1_49
-0.10264289585146906,-0.18689035845291646,0.12275096943974372,-0.06235192669933126,-0.1463958070541928,-0.2322321402847965,0.17930775582346065,0.07268178926563774,0.2215698001086683,-0.059719103245373356,-0.18031910690476288,-0.10717186699765305,-0.16003684909378194,0.1601967162148238,-0.09490959562555602,-0.14832267560624018,-0.07554073966577646,-0.009615409189468812,-0.0907474952072426,-0.03617589074432714,0.009818562986961165,-0.04502993923120858,-0.018925876583322454,0.16614651993178534,0.15264575181308082,0.06838930396916312,0.04852467519244605,0.13130971998983484,0.21516757969900532,-0.005937333594932,-0.03556093182397517,0.09807752828910585,-0.06150297623733268,-0.08951988029174396,-0.07884582132212643,-0.14980216049691306,0.15268821319670114,0.17434798015384148,-0.025388107596336425,-0.11933844640609602,0.10725038004779847,-0.04537473681596372,-0.009307097555323909,0.011687865324611356,-0.010739048338382167,0.07293088751979508,-0.005539811103338675,0.17985174888526306,0.07115502392382242,-0.06001712237466586
0.023283763112053428,0.10091153083166934,0.08994264706618393,0.09813194661488639,-0.14064704712224196,0.026827221075763918,0.036740879452563775,-0.036568633426197865,0.19526303236783418,0.005065996378453824,-0.12427031892808724,-0.05772428689370304,-0.0907715427602471,0.10383016200868093,-0.1491302691645988,-0.16312646701110267,0.2206544044369445,-0.16959421544635767,-0.18662957777632005,-0.058078279639841385,-0.09008763041908649,-0.031203759446614684,-0.12021806462680656,0.012062128886855263,0.0045680875302746594,-0.01955184161567472,-0.023253318376592464,0.03031910352741826,-0.004809923873129767,-0.06719080720416026,-0.04616732742380275,-0.03669863107891084,0.053454785108629777,-0.040620488069365,-0.07674597647868095,0.030015255882880093,-0.05031032006386738,0.13085372784582572,0.08390009364229942,-0.002333790703821413,-4.2954018806502995e-05,-0.1273720601315767,-0.1303843247334708,-0.020259127336550574,-0.19617518927056482,-0.08134867486116543,0.0829390078198937,-0.01481786612041531,-0.189046092096186,0.016967780970503776
0.03040373578647996,0.08793283620350509,0.020860280195420848,-0.019607977424766096,-0.0031028655087618237,-0.050205516314329325,0.09530462905597534,0.0850587058331446,0.061181822664611994,0.12914715461262702,-0.14368531825215528,-0.045875137483055564,0.07307053624210319,-0.04025145078183453,0.10839872576622307,0.1483552605841528,-0.08786931367763055,0.034137707958060134,0.051735086137449926,-0.010741403831663974,-0.05845869266695377,0.06150097191720926,-0.10923943620134383,0.1147253790897163,-0.06680988936844365,0.0758465683118533,0.03067094159941228,0.050736391904875486,-0.07509793725979622,0.011961548496648601,-0.014963888707663318,0.06689093418598842,-0.07893195482934891,0.013570742246659776,-0.02574622970137949,-0.028077401656353605,0.13892886162417117,-0.011001983804058292,-0.03475272818845854,-0.08873478056224131,-0.08456794867828717,0.07484290185182489,0.0950078071191694,-0.06103194510091454,0.1049354422116746,0.04465000525532069,-0.045540180188879176,0.01910378355305011,-0.11160009326897931,-0.08505970660639978
0.07230981913320933,-0.07214185405456926,-0.005312281836134905,-0.006086656420388538,-0.021185523269089877,0.019178047480888374,-0.0003440452366951125,-0.04053511521627373,0.008777234555218921,-0.11375465327558082,0.042298797230107744,0.09750947331386352,0.019400249936132347,0.1579407499401052,0.05375848224845578,-0.023384278033263917,-0.024418091114710865,0.03042783550566435,-0.01128800281090975,0.04252184530882046,-0.01020261368348073,-0.11697885728275464,-0.0462898915290122,0.05197744258830629,-0.04650191416972776,0.10172650904696484,0.11539707008283934,-0.11666207433397677,-0.06525039834038164,-0.06006666108670697,-0.11735668064524597,0.0700796741165334,0.011290271230231555,-0.010335321384047202,-0.05787030205798521,0.033725382936742127,-0.02836208182876491,0.0006857994689415085,0.0054835827312305725,-0.0012563127936688562,-0.02998412169779056,-0.027296238037046106,-0.038951613681316236,0.16183499140491722,-0.131561951532764,0.13401680511769593,0.029609543332484483,0.01758246458630288,0.0012107371294857244,0.08879667981181827
0.033353366029751724,-0.11927543745576535,0.021133489868160233,-0.12605767893721934,-0.010247625292772677,0.18084233412519163,0.08225745632919891,0.031012630965787644,0.0375490070012496,0.04655544056968581,0.04126582595380346,0.11499821881289837,-0.02388818289064641,-0.047153644796423456,0.10714569788690502,-0.11508407852153656,-0.009953102566386339,-0.1567454790058145,-0.03235380333630187,-0.052063525915773824,-0.2076297208417247,0.10108568168065873,-0.021786777009819392,-0.1401885050889914,0.030904337440985915,0.03908986532454153,0.015739146798340396,-0.09441713399379335,-0.08400757012335319,-0.022782612725414972,0.1266848727809928,-0.06562062746770018,-0.03199142322064152,-0.0654715108230986,-0.09348711842115874,-0.007382159601420635,-0.031981248415209815,-0.1321929330969824,-0.050628937990597415,-0.06980455914192096,0.01572545650935536,0.0063952110603186126,0.05557908492586841,0.14955751198270226,-0.054951503231805164,-0.012646241890292953,-0.026139836682477924,-0.0035646082101110253,-0.13251008362226294,0.09893234855977112
-0.046972567096588855,0.023431991804113955,-0.08988471821834836,0.037355408605070535,0.02479676874983304,-0.042349514513712896,0.16061802155719898,0.0024352978063839946,-0.015553715852898968,-0.04135897124313054,0.039282951146885,0.15199827467373148,0.046105302033871975,0.07472062195877276,0.15156793357154033,-0.016554635722669582,0.10316920043740051,-0.11712208651544588,-0.006473984147240256,0.05768716222946483,0.11166148628355455,0.11354312303896232,-0.09351431603827384,-0.1125222714916693,0.10130743321517291,0.12403028981320743,0.021516188723597608,-0.052895654873015105,0.12053724077900999,-0.016647835369153163,0.18432115365822135,0.13259225223667398,0.03361009002910249,0.03384846364880443,-0.0848526800404139,-0.06691618697573007,-0.06262666748267393,0.0018575959518469856,-0.0495828568564787,0.06393062584991195,-0.016304932428136108,0.0840401085231125,-0.051964112620849996,0.0676972942486659,-0.09687439866880694,0.09982589506640846,-0.011859530068832433,0.11105270651423746,-0.14172045838343683,0.014151883057464008
-0.006642994490343792,0.03202612084115408,0.09996983329082003,-0.04319885426396522,0.03407562542715341,-0.014774495273860832,0.018368041673087587,-0.04742612985313934,-0.05812155035554025,0.023976169732911282,0.027585739857785018,0.16552722210578402,-0.031239106084807258,-0.03737965154230771,0.12543172224883442,0.03295053978862631,0.109358878049516,0.010950420345763111,0.13108286937483293,0.04508791529412039,-0.14875269053667023,0.08770669027232164,-0.15246397876086493,-0.04987643125877152,0.04774444245109815,0.12266279073712805,-0.035326721621371106,-0.157881649966402,-0.0675358054909696,-0.03260934119136043,-0.09598861306729539,-0.06136156168132925,0.07158082778210718,-0.07482454711677537,-0.1116584522035937,-0.0011955395132895196,0.006990445896487194,0.007892566277740412,-0.022325956959368242,0.05035151790660143,-0.055315303879259724,0.062496503639534365,0.053349436609738864,-0.0712352181101529,-0.05023828551113271,-0.008602569022879128,0.14187302036577482,0.03909092853849525,0.06466896657882772,0.1049580996241017
-0.06365905675935105,-0.19713633699284736,0.012751845299529439,0.05427059693885984,-0.07963125046641355,0.14631371332897716,-0.13473103608916484,-0.15446110934822468,0.0782504110388534,0.03549861364421438,0.05794804121908125,0.13584121475319888,-0.08700869288996238,0.03354883264864906,0.09219172051136225,-0.1284186643005288,0.08903645069358987,0.09714090319352854,0.08230162538875081,-0.031165937595178935,0.09614304692690002,0.1045989537519839,-0.009950139701052713,-0.11916887615665478,0.010730924092793042,0.09252277870836828,-0.014461071227598108,-0.022321557664411917,0.045662843362372016,0.0410165596960863,-0.17110260237410055,-0.07075177935511737,0.04242891842704092,0.0033950370946000167,-0.07778763314287977,-0.07015427601457516,-0.038756100849324446,0.05023923141629794,-0.03263087059342732,0.014409258208939962,-0.09217556334169771,0.037477458224597894,0.017849606710940838,0.02699617235086695,0.13180953709390017,-0.061488890588338424,0.028568474798358764,0.14603193940867035,0.05427354348050794,-0.003807857164494505
0.006839018443904811,0.09986281003572507,-0.05298243263322559,-0.037987662398505026,-0.06199130040438428,-0.11064094103452159,0.13640906938057126,-0.07935832350034534,0.07753282258307254,0.05401334852946889,0.09681502527664874,0.09232497528763701,0.008262348965578708,0.057564667817459,0.11131892771136116,0.014177484189817726,-0.07090535412568613,-0.025437266947120646,0.13681324782609938,0.12439271969846163,-0.001659814318388013,0.046549691263934316,-0.05752532483802229,0.0011496418636637404,-0.022795026815545124,-0.008054599994324238,0.04627173141787181,0.0020545894168498757,0.14530703363378802,0.0484860994216909,-0.060589612213153926,0.006285971311932247,0.07098090843103137,-0.029955615866816564,-0.0033071637347999914,0.0800652715179196,0.11080186095769039,-0.12457537256311087,-0.08417404214454655,-0.07986182567852144,0.06167304714223652,-0.12507865117238026,0.20426442244220439,-0.051420951557043265,-0.03734187782165761,-0.07705272642336829,0.07651026870333123,0.020169574102155842,-0.13209788731755734,0.10216838088093844
-0.02952780626114749,0.01681488268324089,-0.08182722453175985,0.02382975016558569,-0.10507625751212392,0.0005972828039497172,-0.1602959655871309,0.07104925579730151,-0.007598751366713343,0.043191238477546544,0.008535477339980207,-0.10446062777069064,-0.012228242312132051,0.12661995142914198,0.09677988962640151,-0.05077165596620274,-0.0725909330430293,0.005480217057886751,-0.19403895478612493,-0.006365641188262724,0.04413054432089038,-0.0501049803575517,-0.06714343103867952,0.021456356034295826,0.09977290477048877,0.04910881728825632,0.07849969470325842,0.059439443654331514,-0.021322275536811014,0.07079868872352812,0.02122839700771075,-0.02428809755394054,0.06105607579231424,-0.05423956073605055,-0.162070255477174,-0.08763431537832189,0.046662835515904284,0.1521583935041044,-0.14190588718713423,0.022372752580672988,0.011028246434558448,-0.07586355109991465,-0.08460552065010389,-0.07440779454691832,-0.07778110541128945,0.0979243356758757,-0.13484823048280462,-0.16082528916733707,-0.03390930983844244,-0.1737206270867181
